feature,importance
rsiScore,0.3157894736842105
Indicator,0.15789473684210525
Indicator,0.15789473684210525
rsiScore,0.15789473684210525
emaCrossScore,0.13157894736842105
emaCrossScore,0.07894736842105263
maScore,0.0
srScore,0.0
stochScore,0.0
stochScore,0.0
bbScore,0.0
bbScore,0.0
atrScore,0.0
rsiScore,0.0
maScore,0.0
srScore,0.0
sarScore,0.0
sarScore,0.0
adxScore,0.0
ichimokuScore,0.0
volumeScore,0.0
volumeScore,0.0
mfiScore,0.0
ichimokuScore,0.0
mfiScore,0.0
priceMAScore,0.0
emaScore,0.0
priceMAScore,0.0
emaScore,0.0
emaCrossScore,0.0
cciScore,0.0
adxScore,0.0
breakoutScore,0.0
breakoutScore,0.0
phaseScore,0.0
phaseScore,0.0
institutionalPhaseScore,0.0
institutionalPhaseScore,0.0
orderBlockScore,0.0
orderBlockScore,0.0
sweepScore,0.0
sweepScore,0.0
htfScore,0.0
htfScore,0.0
uhtfScore,0.0
uhtfScore,0.0
fvgScore,0.0
cciScore,0.0
fvgScore,0.0
supportStrength,0.0
resistanceStrength,0.0
supportStrength,0.0
candleScore,0.0
candleScore,0.0
candlePattern,0.0
resistanceStrength,0.0
candleContext,0.0
candleContext,0.0
majorFactors,0.0
majorFactors,0.0
nearestLevels,0.0
nearestLevels,0.0
confidence,0.0
candlePattern,0.0
confidence,0.0
fvgContext,0.0
fvgContext,0.0
Indicator,0.0
ADX,0.0
ADX,0.0
SR,0.0
SR,0.0
FVG,0.0
FVG,0.0
HTF,0.0
HTF,0.0
Candle,0.0
atrScore,0.0
macdScore,0.0
macdScore,0.0
Breakout,0.0
Breakout,0.0
Candle,0.0
InstPhase,0.0
OrderBlock,0.0
OrderBlock,0.0
Sweep,0.0
Phase,0.0
UHTF,0.0
UHTF,0.0
MarketType,0.0
MarketType,0.0
Bias,0.0
Bias,0.0
Fibonacci,0.0
Phase,0.0
Fibonacci,0.0
VWAP,0.0
StrategyType,0.0
VWAP,0.0
ActiveStrategies,0.0
ActiveStrategies,0.0
MainReason,0.0
StrategyType,0.0
MainReason,0.0
srScore,0.0
maScore,0.0
srScore,0.0
maScore,0.0
rsiScore,0.0
macdScore,0.0
InstPhase,0.0
macdScore,0.0
stochScore,0.0
bbScore,0.0
stochScore,0.0
atrScore,0.0
atrScore,0.0
sarScore,0.0
bbScore,0.0
ichimokuScore,0.0
ichimokuScore,0.0
adxScore,0.0
adxScore,0.0
volumeScore,0.0
volumeScore,0.0
mfiScore,0.0
sarScore,0.0
mfiScore,0.0
priceMAScore,0.0
emaScore,0.0
priceMAScore,0.0
emaScore,0.0
emaCrossScore,0.0
cciScore,0.0
cciScore,0.0
breakoutScore,0.0
breakoutScore,0.0
phaseScore,0.0
phaseScore,0.0
institutionalPhaseScore,0.0
institutionalPhaseScore,0.0
orderBlockScore,0.0
Sweep,0.0
orderBlockScore,0.0
sweepScore,0.0
htfScore,0.0
sweepScore,0.0
uhtfScore,0.0
uhtfScore,0.0
fvgScore,0.0
htfScore,0.0
supportStrength,0.0
supportStrength,0.0
resistanceStrength,0.0
resistanceStrength,0.0
candleScore,0.0
candleScore,0.0
candlePattern,0.0
fvgScore,0.0
candlePattern,0.0
candleContext,0.0
majorFactors,0.0
candleContext,0.0
nearestLevels,0.0
nearestLevels,0.0
confidence,0.0
majorFactors,0.0
confidence,0.0
fvgContext,0.0
fvgContext,0.0
Indicator,0.0
ADX,0.0
ADX,0.0
SR,0.0
SR,0.0
FVG,0.0
FVG,0.0
HTF,0.0
HTF,0.0
Candle,0.0
Candle,0.0
Breakout,0.0
Breakout,0.0
Phase,0.0
Phase,0.0
InstPhase,0.0
InstPhase,0.0
OrderBlock,0.0
OrderBlock,0.0
Sweep,0.0
Sweep,0.0
UHTF,0.0
UHTF,0.0
MarketType,0.0
MarketType,0.0
Bias,0.0
Bias,0.0
Fibonacci,0.0
Fibonacci,0.0
VWAP,0.0
VWAP,0.0
StrategyType,0.0
StrategyType,0.0
ActiveStrategies,0.0
ActiveStrategies,0.0
MainReason,0.0
MainReason,0.0
