fast_period,slow_period,stop_loss,ticker,final_balance,returns
10,30,0.95,,10051.428746207237,0.5142874620723705
10,30,0.95,,10049.436253016469,0.49436253016468984
10,30,0.95,,10047.502672091485,0.47502672091484777
10,30,0.95,,10033.177005270005,0.33177005270004883
10,30,0.95,,10030.468906371112,0.304689063711121
10,30,0.95,,10026.297479493142,0.26297479493141507
10,30,0.95,,10025.823552941318,0.2582355294131776
10,30,0.95,,10022.133958547593,0.22133958547592555
10,30,0.95,,10020.582075651168,0.20582075651167545
10,30,0.95,,10018.294363783834,0.18294363783834341
10,30,0.95,,10017.72071511078,0.17720715110779564
10,30,0.95,,10017.566116909979,0.17566116909978519
10,30,0.95,,10015.387273936269,0.15387273936268683
10,30,0.95,,10015.02875690174,0.15028756901740054
10,30,0.95,,10013.61482640648,0.1361482640647955
10,30,0.95,,10012.597167672158,0.12597167672158321
10,30,0.95,,10012.40603351021,0.12406033510209455
10,30,0.95,,10011.944156832697,0.11944156832696537
10,30,0.95,,10010.093599272726,0.1009359927272635
10,30,0.95,,10009.504814782142,0.09504814782141693
10,30,0.95,,10008.913236644743,0.08913236644742938
10,30,0.95,,10008.744948891639,0.08744948891639069
10,30,0.95,,10008.405916306496,0.08405916306495782
10,30,0.95,,10008.16399331379,0.08163993313790342
10,30,0.95,,10003.38094752598,0.03380947525980446
10,30,0.95,,10001.362434691428,0.013624346914275519
10,30,0.95,,10000.0,0.0
10,30,0.95,,10000.0,0.0
10,30,0.95,,10000.0,0.0
10,30,0.95,,9999.925908345223,-0.0007409165477656643
10,30,0.95,,9998.133872512817,-0.018661274871828937
10,30,0.95,,9997.975537481312,-0.020244625186878692
10,30,0.95,,9997.454559829714,-0.02545440170286383
10,30,0.95,,9994.558959310536,-0.05441040689463989
10,30,0.95,,9993.981697696687,-0.06018302303313249
10,30,0.95,,9993.839679996492,-0.06160320003507877
10,30,0.95,,9991.964884078025,-0.08035115921975376
10,30,0.95,,9988.114516062735,-0.11885483937265236
10,30,0.95,,9986.220632172586,-0.13779367827413808
10,30,0.95,,9986.056590887069,-0.13943409112931476
10,30,0.95,,9985.328994953628,-0.1467100504637165
10,30,0.95,,9983.31354232502,-0.16686457674979466
10,30,0.95,,9983.241099092007,-0.16758900907992938
10,30,0.95,,9981.970668349264,-0.1802933165073591
10,30,0.95,,9980.953377697464,-0.1904662230253598
10,30,0.95,,9976.853071058273,-0.23146928941727313
10,30,0.95,,9976.853071058273,-0.23146928941727313
10,30,0.95,,9963.806141119003,-0.36193858880997143
