Date,Time,Symbol,Type,Ticket,Price,Volume,MA Score,MACD Score,RSI Score,Stoch Score,BB Score,ATR Score,SAR Score,Ichimoku Score,ADX Score,Volume Score,Total Score,Reason
2024-01-18,16:39,BABA,Buy,2,68.30,15.00,0.00,6.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,(null)
2024-01-19,16:30,BABA,Sell,3,67.20,15.00,0.00,6.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,(null)
2024-01-19,16:30,BABA,Buy,4,67.22,15.00,0.00,6.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,(null)
2024-01-19,19:28,BABA,Sell,5,68.67,15.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,(null)
2024-01-22,16:31,BABA,Buy,6,66.86,15.00,0.00,6.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,(null)
2024-01-23,16:30,BABA,Sell,7,72.76,15.00,0.00,6.00,-10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.00,(null)
2024-02-21,16:30,BABA,Sell,8,74.48,15.00,0.00,-6.00,-10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.00,(null)
2024-02-21,16:32,BABA,Buy,9,74.95,15.00,0.00,-6.00,-10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.00,(null)
2024-02-21,16:32,BABA,Sell,10,74.93,14.00,0.00,-6.00,-10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.00,(null)
2024-02-21,16:37,BABA,Buy,11,75.67,14.00,0.00,6.00,-10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.00,(null)
